,0
238,Hemophagocytic Lymphohistiocytosis
239,Peritoneal Fibrosis
240,Retinitis Pigmentosa
241,"Lymphoma, Primary Effusion"
242,Endotoxemia
243,Mycosis Fungoides
244,"Aortic Aneurysm, Thoracic"
245,Prolactinoma
246,Fibromyalgia
247,Cerebral Cavernous Malformations
248,"Carcinoma, Adenoid Cystic"
249,Endocrine Gland Neoplasms
250,Carcinosarcoma
251,Nevus
252,"Shock, Septic"
253,Chronic Pancreatitis
254,Necrotizing Enterocolitis
255,Balkan Nephropathy
256,Borna Disease
257,Gestational Trophoblastic Disease
258,Thymoma
259,Sertoli Cell-Only Syndrome
260,Peritoneal Neoplasms
261,Parathyroid Carcinoma
262,Hearing Disorders
263,Smoke Inhalation Injury
264,Eclampsia
265,Nephrosclerosis
266,"Niemann-Pick Disease, Type C"
267,"Carcinoma, Ehrlich Tumor"
268,Esophagitis
269,HIV-Associated Lipodystrophy
270,Osteonecrosis
